2025-04-22 00:58:49,913 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3545 bytes
2025-04-22 00:58:50,436 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3476 bytes
2025-04-22 00:58:50,969 - workload_generator - INFO - Throughput: 903.68 msgs/sec, 3.01 MB/sec
2025-04-22 00:58:50,970 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3573 bytes
2025-04-22 00:58:51,498 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3457 bytes
2025-04-22 00:58:52,021 - workload_generator - INFO - Throughput: 904.93 msgs/sec, 3.02 MB/sec
2025-04-22 00:58:52,021 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3434 bytes
2025-04-22 00:58:52,554 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3481 bytes
2025-04-22 00:58:53,134 - workload_generator - INFO - Throughput: 904.75 msgs/sec, 3.02 MB/sec
2025-04-22 00:58:53,136 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3501 bytes
2025-04-22 00:58:53,629 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3425 bytes
2025-04-22 00:58:54,162 - workload_generator - INFO - Throughput: 906.42 msgs/sec, 3.02 MB/sec
2025-04-22 00:58:54,163 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3510 bytes
2025-04-22 00:58:54,731 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3551 bytes
2025-04-22 00:58:55,244 - workload_generator - INFO - Throughput: 906.86 msgs/sec, 3.03 MB/sec
2025-04-22 00:58:55,246 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3462 bytes
2025-04-22 00:58:55,788 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3478 bytes
2025-04-22 00:58:56,307 - workload_generator - INFO - Throughput: 907.68 msgs/sec, 3.03 MB/sec
2025-04-22 00:58:56,307 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3507 bytes
2025-04-22 00:58:56,842 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3558 bytes
2025-04-22 00:58:57,372 - workload_generator - INFO - Throughput: 908.41 msgs/sec, 3.03 MB/sec
2025-04-22 00:58:57,373 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3485 bytes
